urn,crn,fullName,guardianEmail,sgpa,sub1_code,sub1_int,sub1_ext,sub1_intDet,sub1_extDet,sub2_code,sub2_int,sub2_ext,sub2_intDet,sub2_extDet,sub3_code,sub3_int,sub3_ext,sub3_intDet,sub3_extDet,sub4_code,sub4_int,sub4_ext,sub4_intDet,sub4_extDet,sub5_code,sub5_int,sub5_ext,sub5_intDet,sub5_extDet,sub6_code,sub6_int,sub6_ext,sub6_intDet,sub6_extDet
2203001,2203101,Aarav Sharma,aarav.sharma@gmail.com,7.5,PCCS-106,28,42,false,false,PECS-115,30,45,false,false,PRCS-106,38,0,false,false,LPCCS-104,22,14,false,false,LPCCS-105,24,15,false,false,PCCS-112,29,44,false,false
2203002,2203102,Diya Verma,diya.verma@gmail.com,8.2,PCCS-106,32,48,false,false,PECS-115,34,50,false,false,PRCS-106,42,0,false,false,LPCCS-104,25,16,false,false,LPCCS-105,26,17,false,false,PCCS-112,33,49,false,false
2203003,2203103,Kabir Singh,kabir.singh@gmail.com,6.8,PCCS-106,22,35,false,false,PECS-115,24,38,false,false,PRCS-106,30,0,false,false,LPCCS-104,18,12,false,false,LPCCS-105,20,13,false,false,PCCS-112,25,36,false,false
2203004,2203104,Ananya Patel,ananya.patel@gmail.com,9.1,PCCS-106,38,55,false,false,PECS-115,37,58,false,false,PRCS-106,48,0,false,false,LPCCS-104,28,19,false,false,LPCCS-105,29,20,false,false,PCCS-112,39,56,false,false
2203005,2203105,Dhruv Kumar,dhruv.kumar@gmail.com,7.9,PCCS-106,30,45,false,false,PECS-115,32,47,false,false,PRCS-106,40,0,false,false,LPCCS-104,24,15,false,false,LPCCS-105,25,16,false,false,PCCS-112,31,46,false,false
2203006,2203106,Navya Gupta,navya.gupta@gmail.com,8.5,PCCS-106,35,52,false,false,PECS-115,36,54,false,false,PRCS-106,45,0,false,false,LPCCS-104,26,18,false,false,LPCCS-105,27,19,false,false,PCCS-112,36,51,false,false
2203007,2203107,Shaurya Joshi,shaurya.joshi@gmail.com,6.5,PCCS-106,18,28,false,false,PECS-115,20,30,false,false,PRCS-106,28,0,false,false,LPCCS-104,15,10,false,false,LPCCS-105,16,11,false,false,PCCS-112,19,29,false,false
2203008,2203108,Kavya Kaur,kavya.kaur@gmail.com,7.2,PCCS-106,26,38,false,false,PECS-115,28,40,false,false,PRCS-106,35,0,false,false,LPCCS-104,20,13,false,false,LPCCS-105,22,14,false,false,PCCS-112,27,39,false,false
2203009,2203109,Reyansh Malhotra,reyansh.malhotra@gmail.com,8.8,PCCS-106,36,54,false,false,PECS-115,35,56,false,false,PRCS-106,46,0,false,false,LPCCS-104,27,18,false,false,LPCCS-105,28,19,false,false,PCCS-112,37,55,false,false
2203010,2203110,Riya Thakur,riya.thakur@gmail.com,7.1,PCCS-106,25,36,false,false,PECS-115,26,38,false,false,PRCS-106,32,0,false,false,LPCCS-104,19,12,false,false,LPCCS-105,21,13,false,false,PCCS-112,26,37,false,false
